dataset,model,MASE,WQL
electricity_15min,seasonal-naive,0.4978697476132387,0.1169378163151378
m4_daily,seasonal-naive,3.278424323759728,0.0279332664832445
m4_hourly,seasonal-naive,1.1932105781333862,0.0483091941403194
m4_monthly,seasonal-naive,1.2597170386001693,0.1455332906092934
m4_weekly,seasonal-naive,2.777295109814942,0.0633986476090776
monash_electricity_hourly,seasonal-naive,1.839634785956572,0.1468968206229902
monash_electricity_weekly,seasonal-naive,3.0371656285424,0.1979332504059267
monash_kdd_cup_2018,seasonal-naive,0.9943785889052376,0.5555856702439576
monash_london_smart_meters,seasonal-naive,0.9661872287141056,0.5413187715028914
monash_pedestrian_counts,seasonal-naive,0.3691951941442247,0.3185271550430794
monash_rideshare,seasonal-naive,1.2495987545425715,0.1860080644135506
monash_temperature_rain,seasonal-naive,2.243384627173123,1.4244854980220072
taxi_30min,seasonal-naive,1.160268631066241,0.4711417890926274
uber_tlc_daily,seasonal-naive,1.37803447078482,0.2313550175912078
uber_tlc_hourly,seasonal-naive,0.930916273455971,0.298849044501192
